split,seed,corruption_rate,imputer,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,42,0.1,mean,OVR_GD,0.8471270426989984,0.7668022697772399,0.9670968999998877,0.001385600000503473,1339.484375
60/40,42,0.1,mean,OVO_GD,0.8832366895097522,0.8682430323324964,1.2442955000005895,0.1924211000005016,1106.560546875
60/40,42,0.1,mean,Softmax_GD,0.8647865050079072,0.8477322939346678,0.6041265000021667,0.0010933000012300909,3147.2734375
60/40,42,0.1,mean,LDA,0.8869267264101213,0.8880819289595302,0.0036116000010224525,0.484292799999821,526.203125
60/40,42,0.1,mean,QDA,0.8139167105956774,0.840054080906558,0.003783200001635123,0.3765419000010297,537.361328125
60/40,42,0.1,mean,GNB,0.8895624670532419,0.892468150446611,0.0037576000031549484,0.0021377000011852942,1194.7265625
60/40,42,0.1,median,OVR_GD,0.8463363205060622,0.7660831832513505,0.9720519000002241,0.0015884999993431848,1339.484375
60/40,42,0.1,median,OVO_GD,0.8800738007380073,0.8643124105974194,1.3479626000007556,0.2091011000011349,1105.935546875
60/40,42,0.1,median,Softmax_GD,0.863995782814971,0.8462175133823429,0.6227130999977817,0.0007416999978886452,3147.2734375
60/40,42,0.1,median,LDA,0.8866631523458092,0.8865522115806493,0.0032375000009778887,0.5101391999996849,526.203125
60/40,42,0.1,median,QDA,0.8096995255666842,0.8362260417108587,0.0036612000003515277,0.38389590000224416,537.361328125
60/40,42,0.1,median,GNB,0.8900896151818661,0.8934848478440592,0.002941599999758182,0.0019183000003977213,1194.7265625
60/40,42,0.1,knn,OVR_GD,0.8624143384290985,0.7823708359316995,0.916650799998024,0.0033944999995583203,1339.484375
60/40,42,0.1,knn,OVO_GD,0.8985239852398524,0.8923322205153496,1.4480301000003237,0.18901259999984177,1105.935546875
60/40,42,0.1,knn,Softmax_GD,0.8863995782814971,0.8762749025674278,0.6167831999991904,0.001497400000516791,3147.2734375
60/40,42,0.1,knn,LDA,0.9032683183974697,0.9176331176834873,0.0054792000009911135,0.5111152999998012,526.203125
60/40,42,0.1,knn,QDA,0.8916710595677385,0.905966507181569,0.004791900002601324,0.38401949999752105,537.361328125
60/40,42,0.1,knn,GNB,0.8987875593041644,0.9071457891862015,0.0029617999971378595,0.0014833999994152691,1190.0078125
60/40,42,0.2,mean,OVR_GD,0.834475487612019,0.7500223890647825,0.9347692000010284,0.001292600001761457,1339.484375
60/40,42,0.2,mean,OVO_GD,0.8616236162361623,0.8419999834542428,1.3044955000004848,0.20982120000189752,1105.935546875
60/40,42,0.2,mean,Softmax_GD,0.8473906167633105,0.8233658997827197,0.6255405000010796,0.0010182000005443115,3147.2734375
60/40,42,0.2,mean,LDA,0.8721665788086452,0.867239924212747,0.0027879999979631975,0.4746127999969758,526.203125
60/40,42,0.2,mean,QDA,0.8684765419082763,0.8781378244785751,0.0030237999999371823,0.3814191999990726,537.361328125
60/40,42,0.2,mean,GNB,0.8850817079599368,0.8887976435354144,0.004527200002485188,0.0025290999983553775,1194.7265625
60/40,42,0.2,median,OVR_GD,0.8342119135477069,0.7489888683284843,0.9316416000001482,0.001206500000989763,1339.484375
60/40,42,0.2,median,OVO_GD,0.8618871903004744,0.8414471898063077,1.3152976999990642,0.19731279999905382,1106.560546875
60/40,42,0.2,median,Softmax_GD,0.845545598313126,0.8199792199319551,0.569936100000632,0.0006204999990586657,3147.2734375
60/40,42,0.2,median,LDA,0.8708487084870848,0.8630248686746348,0.0025860999994620215,0.4885589000004984,526.203125
60/40,42,0.2,median,QDA,0.867422245651028,0.8779733259097974,0.0030657000024802983,0.39615340000091237,537.177734375
60/40,42,0.2,median,GNB,0.8827095413811281,0.8852354875890426,0.005027800001698779,0.002284899997903267,1194.7265625
60/40,42,0.2,knn,OVR_GD,0.8645229309435951,0.7859365968225175,0.8941976999994949,0.0012760999998135958,1339.484375
60/40,42,0.2,knn,OVO_GD,0.8987875593041644,0.8936890135973243,1.2588146999987657,0.20466719999967609,1106.560546875
