split,seed,model,fold,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,42,OVR_GD,1,0.8464912280701754,0.7754125354829311,0.4909899989997939,0.0005101309998281067,1093.5
60/40,42,OVR_GD,2,0.8567662565905096,0.7834521388022301,0.4909674680002354,0.0005176410004423815,1093.1875
60/40,42,OVR_GD,3,0.8469656992084432,0.7763856766309865,0.4707029569999577,0.0005377389998102444,1093.40625
60/40,42,OVR_GD,4,0.8663148636763413,0.7867045584508684,0.469762271000036,0.0005336710000847233,1093.40625
60/40,42,OVR_GD,5,0.8641975308641975,0.7915729619371122,0.46735367699966446,0.0005156630004421459,1094.0625
60/40,42,OVO_GD,1,0.8912280701754386,0.8853851639481964,0.5626642189999984,0.03261528900020494,927.6826171875
60/40,42,OVO_GD,2,0.8892794376098418,0.8884232236826767,0.5695974480004224,0.03235162399960245,927.62109375
60/40,42,OVO_GD,3,0.8962181178540017,0.8916386150470716,0.5658577960002731,0.033105448999776854,928.4931640625
60/40,42,OVO_GD,4,0.9032541776605101,0.8913969309486791,0.5598992129998805,0.032474309999997786,927.9736328125
60/40,42,OVO_GD,5,0.9162257495590829,0.9066409425525712,0.5638998189997437,0.03245897600027092,928.328125
60/40,42,Softmax_GD,1,0.8719298245614036,0.8687662578724645,0.29565910099972825,0.00023630499981663888,2533.3203125
60/40,42,Softmax_GD,2,0.8769771528998243,0.8799875789358637,0.2894884329998604,0.0002166800004488323,2534.421875
60/40,42,Softmax_GD,3,0.8786279683377308,0.8708630880199241,0.28624178800055233,0.00023017100011202274,2534.9609375
60/40,42,Softmax_GD,4,0.8953386103781882,0.8804052872160201,0.28647259199988184,0.00022056800025893608,2534.9609375
60/40,42,Softmax_GD,5,0.8897707231040565,0.8806411261562407,0.2929571249997025,0.00021847000061825383,2536.578125
60/40,42,LDA,1,0.887719298245614,0.9103533472775239,0.0020109520000914927,0.07979902000079164,434.79296875
60/40,42,LDA,2,0.8936731107205624,0.9144207581995089,0.0019284420004623826,0.07819236199975421,434.66796875
60/40,42,LDA,3,0.8935795954265612,0.9112290680087309,0.0018998510004166747,0.07830352800010587,434.66796875
60/40,42,LDA,4,0.9102902374670184,0.9244940003095452,0.001881720999335812,0.07851127399953839,434.66796875
60/40,42,LDA,5,0.9171075837742504,0.931923425732171,0.0019352210001670755,0.07922298700032115,435.04296875
60/40,42,QDA,1,0.8789473684210526,0.9063757582978601,0.0023451209999620914,0.06645304399989982,445.8505859375
60/40,42,QDA,2,0.8875219683655536,0.9115039830969002,0.002242117999230686,0.06597704899922974,445.734375
60/40,42,QDA,3,0.9006156552330695,0.9181442245375118,0.0022072089996072464,0.06654225999955088,445.7880859375
60/40,42,QDA,4,0.909410729991205,0.9294020606484027,0.0022056600000723847,0.06781192800008284,445.841796875
60/40,42,QDA,5,0.9056437389770723,0.9256088427800424,0.002312147000338882,0.06589692499983357,446.1630859375
60/40,42,GNB,1,0.9017543859649123,0.9162020841752084,0.0024044439996941946,0.000650227000733139,635.921875
60/40,42,GNB,2,0.8743409490333919,0.888501128419098,0.002360868999858212,0.0006529800002681441,636.171875
60/40,42,GNB,3,0.8970976253298153,0.9061767381089271,0.0023286180003196932,0.000652058999548899,636.3203125
60/40,42,GNB,4,0.899736147757256,0.9078960845075082,0.0024112619994411943,0.0006462880000981386,636.3203125
60/40,42,GNB,5,0.8994708994708994,0.903148305130798,0.0023407589997077594,0.0006483830002252944,636.6953125
60/40,43,OVR_GD,1,0.8631578947368421,0.7860592328102528,0.4900776479998967,0.0005204980006965343,1093.0546875
60/40,43,OVR_GD,2,0.8585237258347979,0.7836124949087776,0.487828494000496,0.0005450650005514035,1093.1875
60/40,43,OVR_GD,3,0.8566402814423922,0.7729040729551464,0.46902815399971587,0.0005189230005271384,1093.5146484375
60/40,43,OVR_GD,4,0.8566402814423922,0.7978809261997738,0.4730444910001097,0.0005618679997496656,1093.40625
60/40,43,OVR_GD,5,0.8447971781305115,0.762836862702903,0.4694314469998062,0.0005271890004223678,1094.0625
60/40,43,OVO_GD,1,0.8929824561403509,0.8811132423051111,0.5693297509997137,0.03250865999962116,927.595703125
60/40,43,OVO_GD,2,0.9042179261862917,0.8937268795365448,0.5788050049995945,0.03265265099980752,927.62109375
60/40,43,OVO_GD,3,0.8909410729991205,0.8808075032834501,0.564746600000035,0.03283509300035803,928.4931640625
60/40,43,OVO_GD,4,0.9085312225153914,0.9082280442439722,0.5650718409997353,0.03256420899924706,927.9736328125
60/40,43,OVO_GD,5,0.8897707231040565,0.8835838712943459,0.5645238619999873,0.03289711500019621,928.328125
60/40,43,Softmax_GD,1,0.875438596491228,0.8587480881406478,0.3018303050002942,0.00021847300013178028,2533.3203125
60/40,43,Softmax_GD,2,0.8901581722319859,0.8774497871717247,0.291500585999529,0.00022838000040792394,2534.421875
60/40,43,Softmax_GD,3,0.8830255057167986,0.8728852997572769,0.2931976420004503,0.0002292830004080315,2534.9609375
60/40,43,Softmax_GD,4,0.8847845206684257,0.8788040770503889,0.291422622999562,0.00022604199966735905,2534.9609375
60/40,43,Softmax_GD,5,0.8756613756613757,0.8688256438688017,0.29215751300034754,0.00021904599998379126,2536.578125
60/40,43,LDA,1,0.887719298245614,0.9061957648369167,0.0019673690003401134,0.07924250299947744,434.79296875
60/40,43,LDA,2,0.9191564147627417,0.9327317961253321,0.0019015439993381733,0.07834289699985675,434.66796875
60/40,43,LDA,3,0.8935795954265612,0.9123806179548745,0.0018994430001839646,0.07818939099979616,434.66796875
60/40,43,LDA,4,0.9058927000879508,0.9232065434323534,0.0018929930001831963,0.0790047250002317,434.66796875
60/40,43,LDA,5,0.8968253968253969,0.9161716934028579,0.001882602000478073,0.07849831800012907,435.04296875
60/40,43,QDA,1,0.893859649122807,0.915492039271593,0.0022942779996810714,0.06709552599932067,445.7431640625
60/40,43,QDA,2,0.9112478031634447,0.9292087660760873,0.0022397769998860895,0.06657372000063333,445.734375
60/40,43,QDA,3,0.8812664907651715,0.9032366527173507,0.0022271629995884723,0.06665033200079051,445.734375
60/40,43,QDA,4,0.9076517150395779,0.9277980694227388,0.002217988999291265,0.06609813400064013,445.626953125
60/40,43,QDA,5,0.9029982363315696,0.9224761175904632,0.0021891700007472537,0.06836127000042325,446.0556640625
60/40,43,GNB,1,0.9026315789473685,0.9129940722682048,0.0024176459992304444,0.0006716630005030311,635.921875
60/40,43,GNB,2,0.9033391915641477,0.9103447647069302,0.0023805270002412726,0.0006722830003127456,636.171875
60/40,43,GNB,3,0.8874230430958663,0.8958973558269046,0.002355941999667266,0.00067776500054606,636.3203125
60/40,43,GNB,4,0.9076517150395779,0.9168468135784688,0.002323258999240352,0.0006681280001430423,636.3203125
60/40,43,GNB,5,0.8844797178130511,0.8961986750909043,0.002320270999916829,0.0006691939997836016,636.6953125
60/40,44,OVR_GD,1,0.8675438596491228,0.7832102158498343,0.4744788990001325,0.0005317719997037784,1093.0546875
60/40,44,OVR_GD,2,0.8690685413005272,0.7910569162468306,0.4726129909995507,0.0005275130006339168,1093.1875
60/40,44,OVR_GD,3,0.8452066842568162,0.7851442807404162,0.47876672399979725,0.0005495649993463303,1093.40625
60/40,44,OVR_GD,4,0.851363236587511,0.7810892430180054,0.4713658939999732,0.0005254600000625942,1093.40625
60/40,44,OVR_GD,5,0.86331569664903,0.7765763398101988,0.4792589079997924,0.0005344869996406487,1094.0625
60/40,44,OVO_GD,1,0.9052631578947369,0.9038316851041454,0.5661804260007557,0.0336126369993508,927.595703125
60/40,44,OVO_GD,2,0.9121265377855887,0.9051059662769678,0.5609082589999161,0.03270399099983479,927.62109375
60/40,44,OVO_GD,3,0.8865435356200527,0.8919248479545618,0.5605813869997291,0.03293543400013732,928.4931640625
60/40,44,OVO_GD,4,0.8909410729991205,0.886120563977727,0.5615378940001392,0.032498536000275635,927.9736328125
60/40,44,OVO_GD,5,0.9029982363315696,0.8915159072013852,0.5631934590001038,0.032704441000532825,928.328125
60/40,44,Softmax_GD,1,0.8929824561403509,0.8949691584607221,0.3177990630001659,0.0002298399995197542,2533.3203125
60/40,44,Softmax_GD,2,0.8919156414762741,0.8819527539961517,0.2915760699997918,0.00023961900024005445,2534.421875
60/40,44,Softmax_GD,3,0.8636763412489006,0.859785748005942,0.29281214399998134,0.000245098999585025,2534.9609375
60/40,44,Softmax_GD,4,0.8751099384344767,0.8713620889807966,0.2942947430001368,0.00023064100059855264,2534.9609375
60/40,44,Softmax_GD,5,0.892416225749559,0.8802981904527715,0.30092259899993223,0.0002355900005568401,2536.578125
60/40,44,LDA,1,0.893859649122807,0.9147429623764989,0.00201997800013487,0.07875098299973615,434.79296875
60/40,44,LDA,2,0.8971880492091389,0.9180973037433365,0.0018886459993154858,0.07810341799995513,434.66796875
60/40,44,LDA,3,0.8953386103781882,0.9171005285826299,0.0019111800002065138,0.07860007800081803,434.66796875
60/40,44,LDA,4,0.8944591029023746,0.9137641344194822,0.0019196949997422053,0.07867960200019297,434.66796875
60/40,44,LDA,5,0.9153439153439153,0.9269868615317215,0.0018890549999923678,0.09025904800000717,435.04296875
60/40,44,QDA,1,0.8956140350877193,0.9167720346715157,0.002335395000045537,0.06700446600007126,445.689453125
60/40,44,QDA,2,0.8892794376098418,0.9114163428341946,0.0022251430000324035,0.06631801899948186,445.734375
60/40,44,QDA,3,0.8953386103781882,0.9169757012224731,0.0021974900000714115,0.0662151870001253,445.7880859375
60/40,44,QDA,4,0.8795074758135444,0.905141905993783,0.0022287860001597437,0.06668064299992693,445.6806640625
60/40,44,QDA,5,0.8932980599647267,0.9098548123338899,0.0021980320007060072,0.0654804920004608,446.001953125
60/40,44,GNB,1,0.887719298245614,0.8993981177979201,0.00240480199954618,0.0006656630002908059,635.921875
60/40,44,GNB,2,0.8945518453427065,0.9040283621903892,0.002312843999789038,0.0006609379997826181,636.171875
60/40,44,GNB,3,0.8847845206684257,0.9012352335691511,0.0023019549998934963,0.0006596049997824593,636.3203125
60/40,44,GNB,4,0.8970976253298153,0.9103410598909721,0.0023359839997283416,0.0006664490001639933,636.3203125
60/40,44,GNB,5,0.9021164021164021,0.9058308523353873,0.0023073410002325545,0.0006677760002276045,636.6953125
60/40,45,OVR_GD,1,0.862280701754386,0.7755383442021193,0.47155544799989,0.0005504199998540571,1093.0546875
60/40,45,OVR_GD,2,0.8611599297012302,0.7830903515391449,0.46800670999982685,0.0005217489997448865,1093.1875
60/40,45,OVR_GD,3,0.8557607739665787,0.7877523012258916,0.47650575500028935,0.0005365820006772992,1093.265625
60/40,45,OVR_GD,4,0.8663148636763413,0.7720341740321188,0.4691194679999171,0.0005352859998311033,1093.125
60/40,45,OVR_GD,5,0.8562610229276896,0.7691471775730037,0.4729012869993312,0.0005354260001695366,1093.78125
60/40,45,OVO_GD,1,0.8929824561403509,0.8783608270402317,0.5662096290006957,0.03343012400000589,926.798828125
60/40,45,OVO_GD,2,0.9033391915641477,0.8953414320406371,0.5662907470004939,0.03259289199922932,926.82421875
60/40,45,OVO_GD,3,0.8874230430958663,0.8749919294695342,0.5697681000001467,0.03254242100047122,927.6962890625
60/40,45,OVO_GD,4,0.9050131926121372,0.9028273458350193,0.5679613060001429,0.03308899900002871,927.1767578125
60/40,45,OVO_GD,5,0.8941798941798942,0.8861095028289073,0.5679676749996361,0.032731102999605355,927.53125
60/40,45,Softmax_GD,1,0.887719298245614,0.8742611476176514,0.30823140099982993,0.00021677200038539013,2533.3203125
60/40,45,Softmax_GD,2,0.8884007029876977,0.8812931992861207,0.29254813399984414,0.00021716400078730658,2534.421875
60/40,45,Softmax_GD,3,0.8759894459102903,0.8637752840568876,0.291002350000781,0.00022607699975196738,2534.9609375
60/40,45,Softmax_GD,4,0.8944591029023746,0.8897678755753241,0.2863945090002744,0.00022448199979407946,2534.9609375
60/40,45,Softmax_GD,5,0.8844797178130511,0.8737561636577069,0.2897187700000359,0.0002110940004058648,2536.578125
60/40,45,LDA,1,0.9140350877192982,0.9272965217432185,0.0019886050004060962,0.07872117399983836,434.79296875
60/40,45,LDA,2,0.9007029876977153,0.9155139653522995,0.0019191090004824218,0.07997251600045274,434.66796875
60/40,45,LDA,3,0.8865435356200527,0.9070961736770203,0.002005826000640809,0.09337458400023024,434.66796875
60/40,45,LDA,4,0.899736147757256,0.9191795184242472,0.0019803360000878456,0.09316054600003554,434.66796875
60/40,45,LDA,5,0.9021164021164021,0.9232037239965459,0.0019318760005262448,0.08781861099942034,435.04296875
60/40,45,QDA,1,0.9149122807017543,0.9300880363969763,0.0023496690000683884,0.07309335600075428,445.796875
60/40,45,QDA,2,0.8954305799648506,0.912075610526405,0.00273879499945906,0.07535071399979643,445.734375
60/40,45,QDA,3,0.8830255057167986,0.9092587732956569,0.0022305350003080093,0.06702809699982026,445.6806640625
60/40,45,QDA,4,0.8927000879507476,0.9144439762929285,0.0022672619998047594,0.06626406900068105,445.6806640625
60/40,45,QDA,5,0.9056437389770723,0.9290859525730587,0.002218763999735529,0.06616927799950645,446.001953125
60/40,45,GNB,1,0.9043859649122807,0.9097084286804726,0.00238795699988259,0.0006638619997829664,635.921875
60/40,45,GNB,2,0.8945518453427065,0.9009669881158907,0.002344310999433219,0.000667405000058352,636.171875
60/40,45,GNB,3,0.8839050131926122,0.8943099928116098,0.0023244439998961752,0.0006559069997820188,636.3203125
60/40,45,GNB,4,0.8927000879507476,0.9024148258163217,0.0023443290001523565,0.0006607330005863332,636.3203125
60/40,45,GNB,5,0.8932980599647267,0.9071841484948252,0.0023019569998723455,0.0006483110000772285,636.6953125
60/40,46,OVR_GD,1,0.8614035087719298,0.7877517957691953,0.47127467799964506,0.0005233719994066632,1092.7734375
60/40,46,OVR_GD,2,0.8708260105448155,0.8025403628757156,0.47265779200006364,0.0005302070003381232,1092.90625
60/40,46,OVR_GD,3,0.8733509234828496,0.7955113773244553,0.4674979310002527,0.0005169810001461883,1093.125
60/40,46,OVR_GD,4,0.8478452066842568,0.7626487681202937,0.4680320990000837,0.0005263379998723394,1093.125
60/40,46,OVR_GD,5,0.843915343915344,0.7640514449641117,0.48116394999942713,0.0005436260007627425,1093.78125
60/40,46,OVO_GD,1,0.8912280701754386,0.8767293108631924,0.5654850320006517,0.03281637899999623,926.798828125
60/40,46,OVO_GD,2,0.9094903339191565,0.8982358177110364,0.5687104010003168,0.03285101800065604,926.82421875
60/40,46,OVO_GD,3,0.9058927000879508,0.9055800461417984,0.5640868450000198,0.03241652500037162,927.1767578125
60/40,46,OVO_GD,4,0.8856640281442393,0.8758347329063474,0.5641972359999272,0.0324084000003495,927.1767578125
60/40,46,OVO_GD,5,0.8835978835978836,0.8749091390441299,0.5797114879997025,0.03266495699972438,929.5537109375
60/40,46,Softmax_GD,1,0.8807017543859649,0.8660191283251686,0.29105865500059735,0.00021405099960247753,2533.3203125
60/40,46,Softmax_GD,2,0.8927943760984183,0.8772815074142629,0.2879723380001451,0.00021189999915804947,2534.421875
60/40,46,Softmax_GD,3,0.8918205804749341,0.8877621531908195,0.28640646300027583,0.00020487900019361405,2534.9609375
60/40,46,Softmax_GD,4,0.8803869832893579,0.8734773766195653,0.28661336899949674,0.00022974100011197152,2534.9609375
60/40,46,Softmax_GD,5,0.8783068783068783,0.8710807632403158,0.290250037000078,0.00021493299936992116,2536.578125
