split,seed,model,sigma,f1_macro,f1_drop,fit_time_s,predict_time_s,peak_mem_kb
60/40,42,OVR_GD,0.0,0.7838988947277844,0.0,1.6009899000055157,0.0016405999776907265,1276.0
60/40,42,OVR_GD,0.1,0.7799598068800112,0.003939087847773193,1.412368899967987,0.0019067000248469412,1274.640625
60/40,42,OVR_GD,0.5,0.6857208075696263,0.09817808715815812,1.398038900049869,0.0019039999460801482,1273.953125
60/40,42,OVR_GD,1.0,0.5544958444879479,0.22940305023983654,1.43856479995884,0.001854300033301115,1273.953125
60/40,42,OVO_GD,0.0,0.8918242594074945,0.0,2.2734448999981396,0.4073305000201799,1078.310546875
60/40,42,OVO_GD,0.1,0.8876590207662486,0.004165238641245961,2.217917400004808,0.3852732000523247,1078.373046875
60/40,42,OVO_GD,0.5,0.7805620907047751,0.11126216870271943,2.192561100004241,0.39574559999164194,1078.998046875
60/40,42,OVO_GD,1.0,0.6093458388356552,0.28247842057183936,2.168317199975718,0.3873184999683872,1078.333984375
60/40,42,Softmax_GD,0.0,0.8743483986058082,0.0,0.5715371000114828,0.0007298999698832631,3147.3125
60/40,42,Softmax_GD,0.1,0.8712255392148184,0.003122859390989774,0.5703748000087216,0.0007434000144712627,3147.203125
60/40,42,Softmax_GD,0.5,0.7492744687193824,0.12507392988642574,0.5674615000025369,0.0007402000483125448,3147.203125
60/40,42,Softmax_GD,1.0,0.5827520365717935,0.2915963620340146,0.565088499977719,0.0007545999833382666,3147.203125
60/40,42,LDA,0.0,0.9244242950195397,0.0,0.004103099985513836,0.7083004000014625,526.3671875
60/40,42,LDA,0.1,0.37983393578379865,0.5445903592357411,0.00486260000616312,0.6930779000394978,526.34375
60/40,42,LDA,0.5,0.13537526690954643,0.7890490281099933,0.0036638000165112317,0.6928873999859206,526.25
60/40,42,LDA,1.0,0.10202582921688748,0.8223984658026522,0.004204199998639524,0.7064045000006445,526.25
60/40,42,QDA,0.0,0.924038163202526,0.0,0.00437830004375428,0.5966010999982245,537.26953125
60/40,42,QDA,0.1,0.1534536686318782,0.7705844945706477,0.00442700000712648,0.5883034000289626,536.9833984375
60/40,42,QDA,0.5,0.10978100233295587,0.8142571608695701,0.0043308999738655984,0.5567411999800242,536.9208984375
60/40,42,QDA,1.0,0.11174280207459697,0.812295361127929,0.00410860002739355,0.5895917000016198,536.9208984375
60/40,42,GNB,0.0,0.904679517093995,0.0,0.005102500028442591,0.002541499969083816,1194.953125
60/40,42,GNB,0.1,0.7418169212713572,0.16286259582263773,0.004695600015111268,0.0024262999650090933,1194.796875
