split,seed,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,42,OVR_GD,0.8624143384290985,0.7838988947277844,0.5490574410005138,0.001047159999870928,1350.59765625
60/40,42,OVO_GD,0.8985239852398524,0.8918242594074945,0.622982743000648,0.11155616399992141,1111.529296875
60/40,42,Softmax_GD,0.8845545598313126,0.8743483986058082,0.3568664739996166,0.0005814280002596206,3147.8125
60/40,42,LDA,0.9072219293621507,0.9244242950195397,0.0024689069996384205,0.26317052400008834,526.39453125
60/40,42,QDA,0.9048497627833422,0.924038163202526,0.0027037869995183428,0.2219291510000403,537.4609375
60/40,42,GNB,0.8966789667896679,0.904679517093995,0.002852132000043639,0.001730826999846613,1194.9375
60/40,43,OVR_GD,0.8560885608856088,0.7781144421128978,0.5519886149995727,0.0010348499999963678,1342.25
60/40,43,OVO_GD,0.900632577754349,0.894193282905151,0.6217805719998069,0.11046852599974955,1111.529296875
60/40,43,Softmax_GD,0.8813916710595677,0.8744806370915897,0.3549667530005536,0.0005889370004297234,3147.8125
60/40,43,LDA,0.9032683183974697,0.9210971894228924,0.0024354779998247977,0.26025109799957136,526.39453125
60/40,43,QDA,0.9022140221402214,0.9212500977400505,0.002725423999436316,0.22716487600064283,537.4072265625
60/40,43,GNB,0.8940432261465472,0.9036134349871402,0.0030078199997660704,0.0017176480005218764,1194.9375
60/40,44,OVR_GD,0.8574064312071692,0.7735606340431872,0.5518497650000427,0.0010649209998518927,1342.25
60/40,44,OVO_GD,0.8924617817606747,0.8819655149596899,0.6333921289997306,0.1111665920006999,1111.529296875
60/40,44,Softmax_GD,0.8803373748023194,0.869528682326766,0.3870774130000427,0.000602461000198673,3147.8125
60/40,44,LDA,0.9035318924617818,0.9200384398057224,0.0024575349998485763,0.2645092600005228,526.39453125
60/40,44,QDA,0.8987875593041644,0.9208824286829392,0.0027561020006032777,0.2254552660006084,537.5146484375
60/40,44,GNB,0.8974696889826042,0.9067132045735834,0.002828755999871646,0.0016723869994166307,1194.9375
60/40,45,OVR_GD,0.8521349499209278,0.7759349401271648,0.5530888589992173,0.0010537060006754473,1342.25
60/40,45,OVO_GD,0.8958882445967317,0.8937963342567282,0.6246603890003826,0.11207214199930604,1110.732421875
60/40,45,Softmax_GD,0.8821823932525039,0.8792648225807481,0.3585058629996638,0.000587982000070042,3147.8125
60/40,45,LDA,0.9048497627833422,0.9226528919955089,0.0024203110006055795,0.27377467099995556,526.39453125
60/40,45,QDA,0.8990511333684765,0.9200013043973608,0.0027220709998800885,0.2208552359998066,537.568359375
60/40,45,GNB,0.8964153927253559,0.9062479816772596,0.002839200000380515,0.001613446000192198,1194.9375
60/40,46,OVR_GD,0.8592514496573537,0.7791737194852518,0.5536464469996645,0.0010292380002283608,1341.96875
60/40,46,OVO_GD,0.8985239852398524,0.8929819517009009,0.6283802269999796,0.11518307999995159,1110.732421875
60/40,46,Softmax_GD,0.8798102266736954,0.8721983464538806,0.352299185999982,0.0005800689996249275,3147.8125
60/40,46,LDA,0.8966789667896679,0.9166885441057351,0.0023975899994184147,0.2621058800004903,526.39453125
60/40,46,QDA,0.9016868740115973,0.9225111592144344,0.002636053000060201,0.21902040299937653,537.5146484375
60/40,46,GNB,0.8895624670532419,0.8996812450744681,0.0028033499993398436,0.001780205999239115,1194.9375
70/30,42,OVR_GD,0.8595012293642431,0.7804589727422467,0.6209874019996278,0.000862820999827818,1549.1015625
70/30,42,OVO_GD,0.8984896382156656,0.8966398922248863,0.6839640980006152,0.0856459000005998,1263.5322265625
70/30,42,Softmax_GD,0.8858447488584474,0.8791231412165057,0.42180481100058387,0.00045556599980045576,3658.3046875
70/30,42,LDA,0.9058658236740429,0.9252023917640881,0.0028893749995404505,0.1985640200000489,602.64453125
70/30,42,QDA,0.9009483667017913,0.922001586831989,0.003078361000007135,0.16568372499932593,613.7109375
70/30,42,GNB,0.8970846505093081,0.9060206822319022,0.003220153999791364,0.001314748999902804,913.796875
70/30,43,OVR_GD,0.8517737969792765,0.7728745576312936,0.6424385310001526,0.0008936300000641495,1549.125
70/30,43,OVO_GD,0.8967334035827187,0.8867082766296176,0.7063608069993279,0.08584006500041141,1263.5322265625
70/30,43,Softmax_GD,0.8798735511064278,0.870599888309423,0.45509305500036135,0.000468825999632827,3658.3046875
70/30,43,LDA,0.8995433789954338,0.9166600773831763,0.0028679320002993336,0.19559009400018113,602.64453125
70/30,43,QDA,0.8960309097295399,0.9147318722871379,0.003031548000762996,0.1671899390003091,613.6572265625
70/30,43,GNB,0.8897084650509308,0.8981900185624069,0.0032117130003825878,0.0013072589999865158,913.796875
70/30,44,OVR_GD,0.8577449947312961,0.7740611190561076,0.6344873369998822,0.0008577359994887956,1549.125
70/30,44,OVO_GD,0.8928696873902353,0.8800096568146879,0.6692598300005557,0.08442623600058141,1264.0517578125
